name,longname,source,iridl,registration
tamsatv3.1-af,TAMSAT v3.1 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p1/,TRUE,
,,https://research.reading.ac.uk/tamsat/,,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,,,
tamsatv3-af,TAMSAT v3.0 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p0/,TRUE,
,,https://research.reading.ac.uk/tamsat/,,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,,,
chirp-gb,CHIRP (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRP/,,
,,https://data.chc.ucsb.edu/products/CHIRP/daily,,
,,,,
chirpsv2-gb,CHIRPS v2.0 (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRPS/,,
,,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05,,
,,,,
arc2-af,NOAA-CPC ARC2 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.Africa/.DAILY/.ARC2/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa/arc2,,
,,,,
rfev2-af,NOAA-CPC RFEv2 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.Africa/.DAILY/.RFEv2/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa/rfe2,,
,,https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa/rfe2/RFE_readme.txt,,
,,,,
rfev2-sa,NOAA-CPC RFEv2 (South Asia),http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.SAsia/.RFEv2/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/S.Asia,,
,,https://ftp.cpc.ncep.noaa.gov/fews/S.Asia/SOUTH_ASIA_README.txt,,
,,,,
persiann.pdir-gb,PERSIANN PDIR-Now (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PDIRNow/,,
,,,,
persiann.ccs-gb,PERSIANN-CCS (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN-CCS/,,
,,,,
persiann.cdr-gb,PERSIANN-CDR (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN-CDR/,,
,,,,
persiann-gb,PERSIANN (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN/,,
,,,,
trmm3b42v7-gb,TRMM 3B42 v7 (Global),https://disc.gsfc.nasa.gov/datasets/TRMM_3B42_Daily_7/summary,,https://urs.earthdata.nasa.gov
,,,,
