name,longname,source,iridl,registration
tamsatv3.1-af,TAMSAT v3.1 (Africa),https://research.reading.ac.uk/tamsat/,TRUE,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p1/,,
,,,,
tamsatv3-af,TAMSAT v3.0 (Africa),https://research.reading.ac.uk/tamsat/,TRUE,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p0/,,
,,,,
chirp-gb,CHIRP (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRP/,,
,,https://data.chc.ucsb.edu/products/CHIRP/dekads,,
,,,,
chirpsv2-gb,CHIRPS v2.0 (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRPS/,,
,,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_dekad,,
,,,,
arc2-af,NOAA-CPC ARC2 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.Africa/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa/arc2,,
,,,,
rfev2-af,NOAA-CPC RFEv2 (Africa),https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.Africa/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa,,
,,,,
rfev2-sa,NOAA-CPC RFEv2 (South Asia),https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.SAsia/.RFEv2/,TRUE,
,,https://ftp.cpc.ncep.noaa.gov/fews/S.Asia,,
,,,,
gsmap.clm-gb,GSMaP CLM (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP_CLM/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
