name,longname,source,iridl,registration
tamsatv3.1-af,TAMSAT v3.1 (Africa),https://research.reading.ac.uk/tamsat/,TRUE,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p1/,,
,,,,
tamsatv3-af,TAMSAT v3.0 (Africa),https://research.reading.ac.uk/tamsat/,TRUE,
,,https://data.tamsat.org.uk/data-download/rainfall/,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.Reading/.Meteorology/.TAMSAT/.TARCAT/.v3p0/,,
,,,,
chirp-gb,CHIRP (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://data.chc.ucsb.edu/products/CHIRP/monthly,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRP,,
,,,,
chirpsv2-gb,CHIRPS v2.0 (Global),https://www.chc.ucsb.edu/data/chirps,TRUE,
,,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_monthly/,,
,,https://iridl.ldeo.columbia.edu/SOURCES/.UCSB/.CHIRPS/.v2p0/,,
,,,,
arc2-af,NOAA-CPC ARC2 (Africa),https://ftp.cpc.ncep.noaa.gov/fews/fewsdata/africa/arc2,TRUE,
,,https://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCEP/.CPC/.FEWS/.Africa/,,
,,,,
persiann.pdir-gb,PERSIANN PDIR-Now (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PDIRNow/,,
,,,,
persiann.ccs-gb,PERSIANN-CCS (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN-CCS/,,
,,,,
persiann.cdr-gb,PERSIANN-CDR (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN-CDR/,,
,,,,
persiann-gb,PERSIANN (Global),https://chrsdata.eng.uci.edu,,
,,https://persiann.eng.uci.edu/CHRSdata/PERSIANN/,,
,,,,
gpm.imerg.f-gb,GPM L3 IMERG V07 Final (Global),https://disc.gsfc.nasa.gov/datasets/GPM_3IMERGM_07/summary,,https://urs.earthdata.nasa.gov
,,https://pmm.nasa.gov/data-access/downloads/gpm,,
,,,,
gsmap.nrtv8-gb,GSMaP NRT V8 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.g.nrtv8-gb,GSMaP Gauge NRT V8 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.nrtv7-gb,GSMaP NRT V7 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.g.nrtv7-gb,GSMaP Gauge NRT V7 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.nrtv6-gb,GSMaP NRT V6 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.g.nrtv6-gb,GSMaP Gauge NRT V6 (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
gsmap.clm-gb,GSMaP CLM (Global),https://sharaku.eorc.jaxa.jp/GSMaP/guide.html,,https://sharaku.eorc.jaxa.jp/GSMaP/registration.html
,,https://sharaku.eorc.jaxa.jp/GSMaP_CLM/index.htm,,
,,https://sharaku.eorc.jaxa.jp/GSMaP/faq/GSMaP_faq18.html,,
,,,,
mswep.nrt-gb,MSWEP NRT v2.8 (Global),https://www.gloh2o.org/mswep/,,https://www.gloh2o.org/mswep
,,https://drive.google.com/drive/u/0/shared-with-me,,
,,,,
mswep.past-gb,MSWEP Past v2.8 (Global),https://www.gloh2o.org/mswep/,,https://www.gloh2o.org/mswep
,,https://drive.google.com/drive/u/0/shared-with-me,,
,,,,
mswep.pastng-gb,MSWEP Past nogauge v2.8 (Global),https://www.gloh2o.org/mswep/,,https://www.gloh2o.org/mswep
,,https://drive.google.com/drive/u/0/shared-with-me,,
